Filtro;tweet_id,sentiment,content;
X;1956977084,felicidade,mmm dia muito melhor... até agora! ainda é bem cedo. último dia de #uds;
X;1956978276,vazio,@creyes ensino médio e elementar. As escolas de ensino médio permanecerão abertas para aqueles que precisam de créditos para se formar. Cali está quebrado;
X;"1956985535,felicidade,""@havingmysay cara, esse é o meu lugar de sanduíche favorito de todos os tempos. hummm vc tirou FOTOS?""";
X;1956987600,ódio,caramba! hulu desktop estragou totalmente minha capacidade de falar com uma porta específica em um de nossos servidores de desenvolvimento. então eu não posso assistir e programar;
X;1956989093,amor,@RobertF3 correto! Eu o adoro. Eu apenas o peguei e coloquei debaixo do meu braço porque ele estava chorando. Tudo melhor agora! Hahaha;
X;1956991704,ódio,@mileycyrus ESTE SITE ME PASSOU UM VÍRUS! Quando eu abri mais janelas continuaram aparecendo;
X;1956996081,ódio,@IamYeTe Waraku é insípido e caro! A porção é tão pequena!!!!! re: waraku;
X;1956996385,amor,@freepbx soa bem. Gostei da sugestão. Já faz uma semana e ainda estamos offline Hora de pedir um reembolso...;
X;1957000336,vazio,@softtouchme acabou de responder a você - nunca aprendi a escrever em francês - apenas coisas básicas -;
X;1957004749,ódio,você não odeia quando termina todo o seu trabalho e ainda resta 1,25 horas para trabalhar;
X;"1957005410,surpresa,""Faltam 2 dias deste mês e só tenho 400 MB restantes paradownload.""";
X;1957005696,diversão,@IdleThumbs Up está fora? Não recebi o memorando. Parece incrível.;
X;1957007268,diversão,@relly1 OMG Você está vivo!!! 2 dias passaram tão devagar kkk Estou ficando louco Grrr Você está fazendo alguma coisa hoje à noite?;
X;1957007357,vazio,Estou com dor de cabeça, vou dormir. Boa noite!;
X;1957008434,surpresa,@Bern_morley onde você está? Em Bris? Eu não ouço nada;
X;1957008766,surpresa,Eu sonhei com uma praia bonita e não havia praia quando acordei;
X;1957012535,vazio,@DymeDiva23 Noite. Agora estou acordado e entediado em vez de quase dormir de b 4;
X;1957016086,surpresa,Por que estou fazendi testes do facebook a esta hora da manhã?... especialmente uma manhã de sexta-feira;
X;"1957017522,felicidade,""Fiz uma prova de matemática hoje. No dia anterior ao teste, o professor diz para trazer sua calculadora. Lucas estava confiante. O professor decidiu não fazer cálculos.""";
X;"1957017595,felicidade,""Meu Deus, o show foi incrível, as músicas me deram calafrios em quase todas as partes ... O brooks também chamou ex-alunos, mas eu não pude ir """;
X;"1957020385,felicidade,""Eu não posso fazer 30 minutos de esteira, mas fiz 30 minutos por hoje, vou fazer mais 20 minutos""";
X;1957031859,diversão,@OooChelcyooO Isso é incrível! Temos isso neste fim de semana também, mas não posso ir porque estou me mudando neste sábado. Mas deveria ser muito divertido;
X;1957062698,amor,Eu quero ir para o Peru neste verão ahhhhhhh! Tomara! Sim Sim Sim! saudades de lá!!!;
X;1957066701,entusiasmo,Eu quero outro desse;
X;"1957067779,entusiasmo,""Então, eu preciso ganhar muito dinheiro amanhã""";
X;1957072637,amor,@ddlovato mal posso esperar para ouvir seu novo álbum. eu tenho certeza que vai ser incrível. por favor, apenas repita para mim eu te amo tanto!!!!;
X;1957073668,entusiasmo,@lilxamyx08 eu sei ridículo! nós nunca conseguimos sair eu amo chicago e quero ir às compras... então uma viagem parece divertida;
X;1957124444,diversão,@JetWolf Eu sei que gosto de ver vocês dois no twitter. Tão divertido quanto os quadrinhos. Que eu sinto falta;
X;1957136998,entusiasmo,Contando os minutos para a namorada do meu pai ir embora;
X;1957150281,diversão,@BriannaBanshee uma decepção hhaha;
